station_ID,Charing station name,City,State,Address line 1,Address line 2,Lng,Lat,Category
7880, ,Sydney,New South Wales,Queen Elizabeth Drive,"Bondi Beach NSW 2026, Australia",151.2762714,-33.8908025,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7881, ,Sydney,New South Wales,Corr Road,"Caddens NSW 2747, Australia",150.7352534,-33.7693688,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7882, ,Newcastle,New South Wales,Cowper Street,"Wallsend NSW 2287, Australia",151.6676792,-32.9033741,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7883, ,Newcastle,New South Wales,Cowper Street,"Wallsend NSW 2287, Australia",151.6677058,-32.903365,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7884, ,Newcastle,New South Wales,University Drive,"Callaghan NSW 2308, Australia",151.7019405,-32.8918933,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7885, ,Newcastle,New South Wales,Wharf Road,"Newcastle NSW 2300, Australia",151.7789537,-32.9259292,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7886, ,Newcastle,New South Wales,Wharf Road,"Newcastle NSW 2300, Australia",151.7789514,-32.9259633,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7887, ,Sydney,New South Wales,South Dowling Street,"Zetland NSW 2017, Australia",151.2130127,-33.9069877,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7888, ,Sydney,New South Wales,Joseph Street,"Cabramatta NSW 2166, Australia",150.9199428,-33.8988886,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7889, ,Sydney,New South Wales,Smidmore Street,"Marrickville NSW 2204, Australia",151.1716659,-33.9080986,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7890, ,Sydney,New South Wales,McDonalds Drive-Thru,"Schofields NSW 2762, Australia",150.8754276,-33.7054584,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7891, ,Sydney,New South Wales,Birdwood Lane,"Lane Cove NSW 2066, Australia",151.1692687,-33.8135004,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7892, ,Sydney,New South Wales,Dickson Road,"Leppington NSW 2179, Australia",150.8040539,-33.9532239,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7893, ,Sydney,New South Wales,Hoskins Avenue,"Bankstown NSW 2200, Australia",151.0301289,-33.9320564,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7894, ,Sydney,New South Wales,Liverpool Road,"Burwood NSW 2133, Australia",151.099324,-33.8872485,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7895, ,Sydney,New South Wales,Rooty Hill Road South,"Eastern Creek NSW 2766, Australia",150.8530426,-33.7848221,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7896, ,Sydney,New South Wales,Corfield Road,"Prestons NSW 2170, Australia",150.8557293,-33.9522711,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7897,QESH - Innisfail,Innisfail,Queensland,QESH - Innisfail,"Glady Street, Innisfail QLD 4860, Australia",146.0267957,-17.5235786,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7898,QESH - Cairns,Cairns,Queensland,QESH - Cairns,"Pier Point Road, Cairns City QLD 4870, Australia",145.7790922,-16.9205159,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7899,QESH - Port Douglas,Port Douglas,Queensland,QESH - Port Douglas,"Port Douglas Road, Port Douglas QLD 4877, Australia",145.462902,-16.5267821,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7900,Herberton Historic Village,Herberton,Queensland,Herberton Historic Village,"Broadway, Herberton QLD 4887, Australia",145.3844854,-17.3736451,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7901,Bell Resources,Sydney,New South Wales,Bell Resources,"88 Phillip Street, Sydney NSW 2000, Australia",151.2119085,-33.8648195,"['office', 'office.company', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7902,NRMA Fast Charger,Picton,New South Wales,NRMA Fast Charger,"Walton Street, Picton NSW 2571, Australia",150.610947,-34.1683025,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7903,Evie Seven Hills,Sydney,New South Wales,Evie Seven Hills,"Abbott Road, Seven Hills NSW 2147, Australia",150.9548236,-33.7671436,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7904,Evie Networks,Sydney,New South Wales,Evie Networks,"The Crescent, Mosman NSW 2088, Australia",151.2414403,-33.8254745,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
