Models,Fuel Unit - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023.0_Toyota_TOYOTA_bZ4X LIMITED,MPG,Electricity,125.0,103.0,114.0
2023.0_Toyota_TOYOTA_bZ4X AWD,MPG,Electricity,114.0,94.0,104.0
2023.0_Toyota_TOYOTA_bZ4X LIMITED AWD,MPG,Electricity,112.0,92.0,102.0
2023.0_Volkswagen Group of_Volkswagen_ID.4,MPG,Electricity,115.0,99.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 AWD Pro,MPG,Electricity,104.0,93.0,99.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 AWD Pro S,MPG,Electricity,104.0,93.0,99.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 Pro,MPG,Electricity,115.0,98.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 Pro S,MPG,Electricity,115.0,98.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 S,MPG,Electricity,115.0,99.0,107.0
"2023.0_Volvo_Volvo Cars of North America, LLC_C40 Recharge twin",MPG,Electricity,94.0,80.0,87.0
"2023.0_Volvo_Volvo Cars of North America, LLC_XC40 Recharge twin",MPG,Electricity,92.0,79.0,85.0
