Models,Fuel_usage,Fuel_unit,City_FE,Hwy_FE,Comb_FE
2023_Audi_TT Coupe,Gasoline,MPG,23.0,30.0,25.0
2023_Audi_TTS Coupe,Gasoline,MPG,23.0,31.0,26.0
2023_Bentley_Continental GT,Gasoline,MPG,15.0,23.0,18.0
2023_Bentley_Continental GT Speed,Gasoline,MPG,12.0,20.0,15.0
2023_BMW_230i Coupe,Gasoline,MPG,26.0,35.0,29.0
2023_BMW_230i xDrive Coupe,Gasoline,MPG,24.0,34.0,28.0
2023_BMW_430i Convertible,Gasoline,MPG,25.0,34.0,28.0
2023_BMW_430i Coupe,Gasoline,MPG,25.0,34.0,28.0
2023_BMW_430i xDrive Convertible,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_430i xDrive Coupe,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_840i Convertible,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i xDrive Convertible,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i xDrive Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_M2 Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M2 Coupe,Gasoline,MPG,16.0,24.0,19.0
2023_BMW_M240i Coupe,Gasoline,MPG,22.0,32.0,26.0
2023_BMW_M240i xDrive Coupe,Gasoline,MPG,23.0,32.0,26.0
2023_BMW_M4 Competition Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M4 Competition M xDrive Coupe,Gasoline,MPG,16.0,22.0,18.0
2023_BMW_M4 Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M4 CSL Coupe,Gasoline,MPG,16.0,23.0,18.0
2023_BMW_M440i Convertible,Gasoline,MPG,23.0,31.0,26.0
2023_BMW_M440i Coupe,Gasoline,MPG,24.0,32.0,27.0
2023_BMW_M440i xDrive Convertible,Gasoline,MPG,22.0,31.0,25.0
2023_BMW_M440i xDrive Coupe,Gasoline,MPG,22.0,31.0,25.0
2023_BMW_M4CompetitionMxDriveConvertible,Gasoline,MPG,16.0,23.0,18.0
2023_BMW_M8 Competition Convertible,Gasoline,MPG,15.0,22.0,17.0
2023_BMW_M8 Competition Coupe,Gasoline,MPG,15.0,22.0,17.0
2023_BMW_M850i xDrive Convertible,Gasoline,MPG,17.0,24.0,19.0
2023_BMW_M850i xDrive Coupe,Gasoline,MPG,17.0,24.0,19.0
