Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_BMW_M8 Competition Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,22,17
2023_BMW_M850i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19
2023_BMW_M850i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,30,25
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,28,22
2023_Chevrolet_CAMARO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,29,22
2023_Chevrolet_CAMARO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,26,20
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,21,16
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,26,20
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_Chevrolet_CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,20,16
"2023_Ferrari North America, Inc._Roma",Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19
2023_Ford_MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,32,25
2023_Ford_MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,31,24
2023_Ford_MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_Ford_MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,24,19
2023_Ford_MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_Ford_MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_Ford_MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_Ford_MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,23
2023_Ford_MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,23,18
2023_Ford_MUSTANG HO CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_Ford_MUSTANG HO CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,25,21
2023_Ford_MUSTANG HO COUPE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,23
2023_Ford_MUSTANG HO COUPE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,22
2023_Ford_MUSTANG MACH 1,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,23,18
2023_Ford_MUSTANG MACH 1,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,14,22,17
2023_LEXUS_LC 500,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,25,19
2023_LEXUS_LC 500h,Gasoline (Premium Unleaded Required),MPG,miles per gallon,26,33,29
2023_LEXUS_RC 300,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25
2023_LEXUS_RC 300 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22
2023_LEXUS_RC 350,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_LEXUS_RC 350 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22
2023_LEXUS_RC F,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_Mercedes-Benz_AMG C 43 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,28,22
2023_Mercedes-Benz_AMG C 43 4MATIC (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,27,21
2023_Mercedes-Benz_AMG E 53 4MATIC+ (Convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,23
2023_Mercedes-Benz_AMG E 53 4MATIC+ (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_Mercedes-Benz_C 300 (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,29,24
2023_Mercedes-Benz_C 300 (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,31,25
2023_Mercedes-Benz_C 300 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,25
2023_Mercedes-Benz_C 300 4MATIC (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,31,25
2023_Mercedes-Benz_E 450 (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25
2023_Mercedes-Benz_E 450 (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,30,25
2023_Mercedes-Benz_E 450 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,24
2023_Mercedes-Benz_E 450 4MATIC (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,24
2023_Mini_COOPER HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,38,32
2023_Mini_COOPER HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_Mini_COOPER HARDTOP 4 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,38,32
2023_Mini_COOPER HARDTOP 4 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_Mini_COOPER S HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,28,38,31
2023_Mini_COOPER S HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_Mini_COOPER S HARDTOP 4 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,28,38,31
2023_Mini_COOPER S HARDTOP 4 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_Mini_JOHN COOPER WORKS HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,29
2023_Mini_JOHN COOPER WORKS HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_NISSAN_GT-R,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,22,18
2023_TOYOTA_GR COROLLA,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,28,24
2023_Acura_TLX AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_Acura_TLX AWD A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_Acura_TLX FWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_Acura_TLX FWD A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,30,25
2023_Acura_TLX Type-S,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,25,21
2023_Acura_TLX Type-S Perf Tire,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_Audi_A4 quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,28
2023_Audi_A4 S-Line quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_Audi_S4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_BMW_228i Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,34,28
2023_BMW_228i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
