Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_Subaru_IMPREZA 5-Door SPORT,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,30,25
"2023_Volvo Cars of North America, LLC_V60CC B5 AWD",Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,30,26
2023_Audi_A6 Allroad,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_Audi_RS 6 Avant,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,21,17
2023_Mercedes-Benz_AMG E 63 S 4MATIC+ (SW),Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_Mercedes-Benz_AMG GLB 35 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23
2023_Mercedes-Benz_E 450 4MATIC All-Terrain (wagon),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,28,24
2023_NISSAN_MURANO AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_NISSAN_MURANO FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_Rolls-Royce Motor Cars Limited_Cullinan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,14
2023_Rolls-Royce Motor Cars Limited_Cullinan Black Badge,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,14
"2023_Volvo Cars of North America, LLC_V90CC B6 AWD",Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25
2023_Ford_MAVERICK FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,25
2023_Ford_MAVERICK HEV FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,40,33,37
2023_TOYOTA_TACOMA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,23,21
2023_TOYOTA_TACOMA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_Ford_MAVERICK AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,28,24
2023_Ford_MAVERICK TREMOR AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,24,21
2023_TOYOTA_TACOMA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,22,20
2023_TOYOTA_TACOMA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,22,20
2023_TOYOTA_TACOMA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,21,18
2023_TOYOTA_TACOMA 4WD D-CAB MT TRD-ORP/PRO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,20,18
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,21,20
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,22,20
2023_Chevrolet_SILVERADO 2WD,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,24,29,26
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,21,19
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,21,19
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_Chevrolet_SILVERADO 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_Ford_F150 PICKUP 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,25,21
2023_Ford_F150 PICKUP 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,26,22
2023_Ford_F150 PICKUP 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,21
2023_Ford_F150 PICKUP 2WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,23,20
2023_Ford_F150 PICKUP 2WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_Ford_F150 PICKUP 2WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,25,20
2023_Ford_F150 PICKUP 2WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,24,19
2023_Ford_F150 PICKUP 2WD HEV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,25,25
2023_Ford_RANGER 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,26,22
2023_Ford_RANGER 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,21,20
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,22,20
2023_GMC_SIERRA 2WD,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,24,29,26
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,21,18
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,21,18
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_GMC_SIERRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_NISSAN_FRONTIER 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_NISSAN_TITAN 2WD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,21,18
2023_RAM_1500 4X2,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,25,22
2023_RAM_1500 4X2,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,18,23,20
2023_RAM_1500 Classic 4X2,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,25,20
2023_RAM_1500 Classic 4X2,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,15,21,17
2023_RAM_1500 HFE 4X2,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,26,23
2023_TOYOTA_TUNDRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,23,20
2023_TOYOTA_TUNDRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_TOYOTA_TUNDRA 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,24,22
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,21,19
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,21,19
2023_Chevrolet_SILVERADO 4WD,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,22,27,24
2023_Chevrolet_SILVERADO 4WD,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,22,27,24
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,17
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,17
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_Chevrolet_SILVERADO 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_Chevrolet_SILVERADO 4WD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,20,17
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,18,17
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,21,23,22
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,18,16
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,16
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_Chevrolet_SILVERADO 4WD MUD TERRAIN TIRES,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,18,16
2023_Chevrolet_SILVERADO 4WD ZR2,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,17,15
2023_Ford_F150 PICKUP 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,23,20
2023_Ford_F150 PICKUP 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_Ford_F150 PICKUP 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,23,19
2023_Ford_F150 PICKUP 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,23,20
2023_Ford_F150 PICKUP 4WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,22,20
2023_Ford_F150 PICKUP 4WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,22,18
2023_Ford_F150 PICKUP 4WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_Ford_F150 PICKUP 4WD HEV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,23,23
2023_Ford_F150 PICKUP TREMOR 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_Ford_F150 PICKUP TREMOR 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,18
2023_Ford_F150 PICKUP TREMOR 4WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_Ford_F150 PICKUP TREMOR 4WD FFV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_Ford_F150 RAPTOR 37 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,14,16,15
2023_Ford_F150 RAPTOR 37 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,16,15
2023_Ford_F150 RAPTOR 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,14,18,15
2023_Ford_F150 RAPTOR 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,18,16
2023_Ford_F150 RAPTOR R 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,10,15,12
2023_Ford_RANGER 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_Ford_RANGER 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,24,22
2023_Ford_RANGER TREMOR 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,19,19
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,20,19
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,20,19
2023_GMC_SIERRA 4WD,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,22,27,24
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,17
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,20,17
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_GMC_SIERRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_GMC_SIERRA 4WD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_GMC_SIERRA 4WD AT4X,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,17,15
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,18,17
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,21,23,22
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,18,16
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,16
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,19,17
2023_GMC_SIERRA 4WD MUD TERRAIN TIRES,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,17,15
2023_Honda_RIDGELINE AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,21
2023_Jeep_Gladiator 4X4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_Jeep_Gladiator 4X4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,23,19
2023_Jeep_Gladiator EcoDiesel 4X4,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,22,28,24
2023_Jeep_Gladiator Rubic EcoDiesel 4X4,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,21,27,24
2023_NISSAN_FRONTIER 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_NISSAN_FRONTIER 4WD PRO-4X,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_NISSAN_TITAN 4WD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,21,18
2023_NISSAN_TITAN 4WD PRO-4X,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_RAM_1500 4X4,"Diesel, ultra low sulfur (15 ppm, maximum)",MPG,miles per gallon,21,29,24
2023_RAM_1500 4X4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_RAM_1500 4X4,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_RAM_1500 Classic 4X4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,23,19
2023_RAM_1500 Classic 4X4,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_RAM_1500 TRX 4x4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,10,14,12
2023_TOYOTA_TUNDRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,22,19
2023_TOYOTA_TUNDRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,23,19
2023_TOYOTA_TUNDRA 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,22,20
2023_TOYOTA_TUNDRA 4WD PRO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,20,19
2023_Cadillac_XT5 HEARSE FWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,23,21
2023_Cadillac_XT5 LIMO FWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,23,21
2023_Ford_Transit Connect Van FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,26,25
2023_Ford_Transit Connect Wagon LWB FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,28,26
2023_Mercedes-Benz_GLA 250,Gasoline (Premium Unleaded Required),MPG,miles per gallon,24,34,28
2023_Mercedes-Benz_GLB 250,Gasoline (Premium Unleaded Required),MPG,miles per gallon,24,32,27
2023_Mercedes-Benz_Metris (Cargo Van),Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,23,20
"2023_Mercedes-Benz_Metris (Cargo Van, LWB)",Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,23,20
2023_Mercedes-Benz_Metris (Passenger Van),Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,22,19
2023_Mercedes-Benz_Metris (US Postal Long),Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,25,21
2023_Mercedes-Benz_Metris (US Postal),Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,25,21
2023_Cadillac_XT5 HEARSE AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,23,21
2023_Cadillac_XT5 LIMO AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,23,21
2023_Chevrolet_SILVERADO 2WD CAB CHASSIS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,18,16
2023_Chevrolet_SILVERADO 4WD CAB CHASSIS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,17,16
2023_GMC_SIERRA 2WD CAB CHASSIS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,18,16
2023_GMC_SIERRA 4WD CAB CHASSIS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,17,16
2023_Chrysler_Pacifica,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,28,22
2023_Chrysler_Voyager,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,28,22
2023_Honda_ODYSSEY FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,28,22
2023_KIA_Carnival,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_TOYOTA_SIENNA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,36,36,36
2023_Chrysler_Pacifica AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,17,25,20
2023_TOYOTA_SIENNA AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,35,36,35
2023_Acura_MDX FWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_Acura_RDX FWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,28,24
2023_Acura_RDX FWD A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,27,24
2023_ALFA ROMEO_Stelvio,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_BMW_X3 sDrive30i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,29,25
2023_Buick_ENCORE GX FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,31,30
2023_Buick_ENCORE GX FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,32,30
2023_Buick_ENVISION FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Cadillac_XT4 FWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,30,26
2023_Cadillac_XT5 FWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,24
2023_Cadillac_XT5 FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,26,21
2023_Cadillac_XT6 FWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23
2023_Cadillac_XT6 FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,26,21
2023_Chevrolet_BLAZER FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_Chevrolet_BLAZER FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,27,22
2023_Chevrolet_EQUINOX FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,31,28
2023_Chevrolet_TRAILBLAZER FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,31,30
2023_Chevrolet_TRAILBLAZER FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,33,31
2023_Ford_ESCAPE FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,34,30
2023_Ford_ESCAPE FWD HEV,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,42,36,39
2023_GMC_TERRAIN FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,29,26
2023_Honda_CR-V FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,34,30
2023_Honda_CR-V FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,43,36,40
2023_Honda_PILOT FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,27,22
2023_HYUNDAI MOTOR COMPANY_Kona FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,35,32
2023_HYUNDAI MOTOR COMPANY_Kona FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,35,32
2023_HYUNDAI MOTOR COMPANY_Kona N,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,20,27,23
2023_HYUNDAI MOTOR COMPANY_Palisade FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,27,22
2023_HYUNDAI MOTOR COMPANY_Santa Cruz FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,26,23
2023_HYUNDAI MOTOR COMPANY_Santa Fe FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,28,25
2023_HYUNDAI MOTOR COMPANY_Santa Fe FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,28,26
2023_HYUNDAI MOTOR COMPANY_Tucson FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,32,28
2023_INFINITI_QX50,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,29,26
2023_KIA_Seltos FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,35,31
2023_KIA_Sorento FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_KIA_Sorento FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,29,26
2023_KIA_Sorento Hybrid FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,39,35,37
2023_KIA_Sportage FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,32,28
2023_KIA_Telluride FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,26,23
2023_LEXUS_NX 250,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,33,28
2023_LEXUS_RX 350,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25
2023_Lincoln_CORSAIR FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,30,25
2023_Lincoln_NAUTILUS FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_Lincoln_NAUTILUS FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_MITSUBISHI MOTORS_Outlander 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,31,27
2023_Mitsubishi Motors Corporation_ECLIPSE CROSS 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,28,26
2023_Mitsubishi Motors Corporation_ECLIPSE CROSS ES 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,29,27
2023_Mitsubishi Motors Corporation_Outlander Sport 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,30,27
2023_NISSAN_PATHFINDER 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,23
2023_NISSAN_ROGUE FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,37,33
2023_NISSAN_ROGUE FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,37,33
2023_NISSAN_ROGUE FWD SL/PLATINUM,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,36,32
2023_NISSAN_ROGUE FWD SL/PLATINUM,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,36,32
2023_TOYOTA_COROLLA CROSS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,33,32
2023_TOYOTA_HIGHLANDER,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_TOYOTA_HIGHLANDER,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,28,24
2023_TOYOTA_HIGHLANDER HYBRID,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,36,35,36
2023_TOYOTA_RAV4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,34,30
2023_TOYOTA_RAV4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_Volkswagen_Atlas,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,25,23
2023_Volkswagen_Atlas,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_Volkswagen_Atlas Cross Sport,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,25,23
2023_Volkswagen_Atlas Cross Sport,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_Volkswagen_Taos,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,36,31
2023_Volkswagen_Tiguan,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,26
2023_Volkswagen_Tiguan S,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,31,27
"2023_Volvo Cars of North America, LLC_XC40 B4",Gasoline (Premium Unleaded Required),MPG,miles per gallon,24,32,27
"2023_Volvo Cars of North America, LLC_XC60 B5",Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,30,26
2023_Acura_MDX AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,25,21
2023_Acura_RDX AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,27,23
2023_Acura_RDX AWD A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_ALFA ROMEO_Stelvio AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,28,24
2023_ALFA ROMEO_Stelvio AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,23,19
2023_Audi_Q3 S-Line,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,28,24
2023_Audi_Q5 quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,29,25
2023_Audi_Q5 S-Line quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_Audi_Q5 Sportback S-line quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_Audi_SQ5,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_Audi_SQ5 Sportback,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,24,21
2023_BMW_X1 xDrive28i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_BMW_X3 M,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_BMW_X3 M Competition,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_BMW_X3 M40i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_BMW_X3 xDrive30i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,28,24
2023_BMW_X4 M,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_BMW_X4 M Competition,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,20,17
2023_BMW_X4 M40i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,26,23
2023_BMW_X4 xDrive30i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,28,24
2023_Buick_ENCORE GX AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,29,27
2023_Buick_ENVISION AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_Cadillac_XT4 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,24
2023_Cadillac_XT5 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23
2023_Cadillac_XT5 AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,25,21
2023_Cadillac_XT6 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,26,23
