Model Year,Division,Carline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel
2023,Audi,RS5 Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,26,21,22.0469,35.5447,26.5908
2023,Audi,S3,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26,29.1,44.1,34.359
2023,Audi,S5 Cabriolet,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,28,23,25.6,37.7,29.9216
2023,Audi,S5 Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24,26.6609,39.7856,31.3086
2023,Audi,TT Coupe,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,25,28.3551,41.888,33.1787
2023,Audi,TTS Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26,29.7,40.7,33.8123
2023,Bentley,Continental GT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,23,18,18.7,30.3,22.5921
2023,Bentley,Continental GT Speed,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,20,15,14.3,26.1,17.9524
2023,BMW,230i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,35,29,33.7,50.5,39.6332
2023,BMW,230i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,34,28,31.548,49.6,37.7268
2023,BMW,430i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28,31.876,48.9726,37.8169
2023,BMW,430i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28,31.876,48.9726,37.8169
2023,BMW,430i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27,30.0164,47.8915,36.0757
2023,BMW,430i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27,30.0164,47.8915,36.0757
2023,BMW,840i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24,26.2872,40.7959,31.2957
2023,BMW,840i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24,26.414,40.9574,31.4373
2023,BMW,840i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24,26.2538,40.8062,31.2724
2023,BMW,840i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24,26.2568,40.8102,31.2758
2023,BMW,M2 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,19.9784,31.7372,23.9758
2023,BMW,M2 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19,20.398,33,24.6307
2023,BMW,M240i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,32,26,28.5813,45.6206,34.3556
2023,BMW,M240i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26,29.0242,46.0932,34.8281
2023,BMW,M4 Competition Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,20.182,32.0616,24.2204
2023,BMW,M4 Competition M xDrive Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,22,18,20.055,31.2954,23.9213
2023,BMW,M4 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,19.8955,32.4972,24.1012
2023,BMW,M4 CSL Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,18,19.4586,31.8215,23.5813
2023,BMW,M440i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26,29.223,44.4948,34.561
2023,BMW,M440i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27,30.9466,46.4009,36.4025
2023,BMW,M440i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25,28.2779,43.89,33.6669
2023,BMW,M440i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25,27.9472,44.6001,33.5913
2023,BMW,M4CompetitionMxDriveConvertible,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,18,19.3569,31.7126,23.4722
2023,BMW,M8 Competition Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,22,17,18.0803,29.9272,21.9991
2023,BMW,M8 Competition Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,22,17,18.0803,29.9272,21.9991
2023,BMW,M850i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19,20.8215,33.217,25.0236
2023,BMW,M850i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19,20.8455,33.2165,25.0425
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,30,25,27.4,43.8,32.9522
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,28,22,23.2702,40.1825,28.7074
2023,Chevrolet,CAMARO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,29,22,22.9849,40.9857,28.6466
2023,Chevrolet,CAMARO,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,26,20,20.2568,36.8682,25.4084
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,21,16,15.3054,27.0108,19.0132
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,26,20,19.6253,36.7214,24.8265
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19,19.6,33.4,24.0765
2023,Chevrolet,CAMARO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,20,16,16.9092,27.1235,20.3594
2023,"Ferrari North America, Inc.",Roma,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19,20.6242,30.9245,24.2605
2023,Ford,MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,32,25,27.5,46.6,33.7192
2023,Ford,MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,31,24,26.667,44.0964,32.4363
2023,Ford,MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,21,29,24,26.3418,42.1258,31.684
2023,Ford,MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,24,19,19.1494,34.2463,23.8882
2023,Ford,MUSTANG,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,24,18,18.1516,31.5043,22.4295
2023,Ford,MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23,25.1686,40.4023,30.3117
2023,Ford,MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,28,23,24.9755,39.7783,29.9991
2023,Ford,MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,23,26.3418,42.1258,31.684
2023,Ford,MUSTANG CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,23,18,18.5983,32.3747,23.0032
2023,Ford,MUSTANG HO CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,26,22,26.667,44.0964,32.4363
2023,Ford,MUSTANG HO CONVERTIBLE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,25,21,24,36.1,28.2629
2023,Ford,MUSTANG HO COUPE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,23,26.667,44.0964,32.4363
2023,Ford,MUSTANG HO COUPE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,20,27,22,24.917,38.1655,29.5299
2023,Ford,MUSTANG MACH 1,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,15,23,18,19.1494,34.2463,23.8882
2023,Ford,MUSTANG MACH 1,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,14,22,17,17.4,31.3,21.7457
2023,LEXUS,LC 500,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,25,19,19.3,34.51,24.0749
2023,LEXUS,LC 500h,Gasoline (Premium Unleaded Required),MPG,miles per gallon,26,33,29,35.7,45.5,39.5315
2023,LEXUS,RC 300,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25,27.1,44.7,32.9356
2023,LEXUS,RC 300 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22,24.2,36.7,28.5805
2023,LEXUS,RC 350,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23,25.3,39.6,30.209
2023,LEXUS,RC 350 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22,24.2,36.7,28.5805
2023,LEXUS,RC F,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19,20.4,33.3,24.707
2023,Mercedes-Benz,AMG C 43 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,28,22,22.9,39.1,28.1481
2023,Mercedes-Benz,AMG C 43 4MATIC (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,27,21,22.9,38.5,28.0067
2023,Mercedes-Benz,AMG E 53 4MATIC+ (Convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,23,25.6499,38.2997,30.1277
2023,Mercedes-Benz,AMG E 53 4MATIC+ (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23,25.9476,39.199,30.6031
2023,Mercedes-Benz,C 300 (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,29,24,26.5,41.4,31.6213
2023,Mercedes-Benz,C 300 (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,31,25,28.1,44.5,33.6867
2023,Mercedes-Benz,C 300 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,25,27.3,43.2,32.7191
2023,Mercedes-Benz,C 300 4MATIC (Coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,31,25,28.1,44.5,33.6867
2023,Mercedes-Benz,E 450 (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25,28.0968,41.0998,32.761
2023,Mercedes-Benz,E 450 (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,30,25,28.8,42.5991,33.7145
2023,Mercedes-Benz,E 450 4MATIC (convertible),Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,24,27.5,41.6,32.4493
2023,Mercedes-Benz,E 450 4MATIC (coupe),Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,24,27.3,42.2,32.457
2023,Mini,COOPER HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,38,32,37.7728,56.2715,44.3308
2023,Mini,COOPER HARDTOP 2 DOOR,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31,35.6267,54.8991,42.3106
